"구분","설계지침서 내용","작성안 반영"
"설계 주제","강의실 예약 시스템 개발","정보관 1층~9층 강의실 예약 시스템으로 확장하되 기존 9층 요구사항을 보존"
"설계 대상","정보공학관 9층 912호~914호, 908호, 911호, 915호, 916호, 918호","초기 데이터에 9층 지정 호실 포함, 추가 요구사항으로 1~9층 관리 가능"
"요구분석","사용자 요구사항과 SW 요구사항 정의, 시스템 아키텍처와 자료 구조/알고리즘 정의","StRS, SRS, 추적표, 서버-클라이언트 구조, 도메인 모델, 정책 분리 작성"
"구현 제한","데이터베이스 사용 금지, 영구 보관은 파일 사용","NFR-003, YAML 파일 저장소, Repository 인터페이스 반영"
"디자인 패턴","디자인 패턴 적용과 완성도 평가","Template Method, Builder, Singleton, Observer, Iterator, Strategy, Repository, Policy 적용"
"시험","JUnit5 단위 테스트와 통합/시스템 테스트 구현","NFR-007에 테스트 요구사항 추가"
"산업표준","UML 클래스 다이어그램, 개발 방법론, 테스팅, 형상 관리","PlantUML, git, 계층형 아키텍처, 요구사항 추적표 반영"
"생산성","좋은 구조의 프로그램, PlantUML, git 활용","SOLID 기반 기능 묶음과 패키지 구조 제시"
"개발 환경","NetBeans IDE(maven) 사용","NFR-004 추가"
"프로젝트 운영","회의록, 협업 도구, git으로 산출물 관리","NFR-012와 문서의 구현 우선순위에 반영"
