"파일","용도","주요 필드","검증 기준"
"data/users.yaml","사용자/역할 저장","id, name, role, department, passwordHash","id 중복 없음, role은 STUDENT/PROFESSOR/ADMIN 중 하나"
"data/classrooms.yaml","강의실 기본 정보","id, building, floor, roomNo, type, capacity, active","capacity는 양수, floor는 1~9, roomNo 중복 없음"
"data/facilities.yaml","시설/충전 정보","classroomId, outletCount, chargeableSeatCount, outletLocationDescription, rentableCharger, projectorStatus, pcStatus","classroomId 참조 존재, count는 0 이상"
"data/lecture-schedules.yaml","정규 강의 시간표","id, classroomId, year, semester, dayOfWeek, startTime, endTime","같은 강의실 시간 중복 없음"
"data/reservations.yaml","예약/상태 저장","id, classroomId, requesterId, purpose, startDateTime, endDateTime, status, attendeeCount, changeRequestId, waitQueueRank","시간 충돌 없음, 상태 전이 유효, 변경 요청은 시작 1시간 전까지만 허용"
"data/notifications.yaml","알림 저장","id, receiverId, type, message, read, createdAt","receiverId 참조 존재"
"data/facility-reports.yaml","시설 신고 저장","id, classroomId, reporterId, type, severity, status, description, handlerMemo","status 전이 유효, type 허용값"
"data/post-use-checks.yaml","사용 후 시설 상태 확인 저장","id, reservationId, checkerId, checkedAt, result, linkedReportId","예약 종료 후 24시간 이내만 허용, result는 OK 또는 ISSUE"
"data/notices.yaml","운영 공지 저장","id, scopeType, scopeId, startDateTime, endDateTime, severity, title, message, active","scopeType은 BUILDING/FLOOR/ROOM, severity는 INFO/WARNING/BLOCKING"
"data/audit-logs.yaml","감사 로그 저장","id, actorId, action, targetType, targetId, createdAt, detail","주요 행위 발생 시 append"
"data/config.yaml","운영 정책 설정","openTime, closeTime, checkInOpenMinutes, checkInGraceMinutes, autoCancelStudentNoShow, changeRequestDeadlineMinutes, postUseCheckHours","체크인 기본값 30/10, 변경 요청 기본값 60, 사용 후 확인 기본값 24, 운영시간 09:00~22:00"
"data/backups/yyyyMMdd-HHmmss/manifest.yaml","백업 메타데이터","createdAt, createdBy, dataVersion, files, checksum","복구 전 manifest 존재와 파일 목록 검증"
